Player,Team,Pos,Games,G,A,Pts,plusminus,SOG,PPG,PPA,PPP,Hits,BS,FP,FPGP
Alexandre Texier,CLS,C,2,1,0,1,3,6,0,0,0,2,1,8.4,4.2
Anders Bjork,BOS,LW,20,1,2,3,-1,18,0,0,0,9,12,24.2,1.21
Anders Lee,NYI,C,82,28,23,51,20,204,10,6,16,103,51,314.6,3.836585366
Andre Burakovsky,COL,LW,76,12,13,25,2,100,1,0,1,35,29,136,1.789473684
Andreas Athanasiou,DET,C,76,30,24,54,-9,216,3,8,11,33,26,260.4,3.426315789
Andreas Englund,OTT,D,3,0,0,0,-2,2,0,0,0,5,2,3.3,1.1
Andreas Johnsson,TOR,LW,73,20,23,43,14,130,3,3,6,60,36,219,3
Andreas Martinsen,PIT,LW,24,1,3,4,-5,21,0,0,0,83,9,60.9,2.5375
Andrei Svechnikov,CAR,RW,82,20,17,37,0,189,0,5,5,123,26,249.1,3.037804878
Andrej Sekera,DAL,D,24,0,4,4,3,28,0,1,1,17,21,40.7,1.695833333
Andrej Sustr,FA,D,5,0,0,0,0,6,0,0,0,3,7,7.4,1.48
Andrew Agozzino,PIT,LW,11,1,1,2,2,11,0,0,0,14,3,18.9,1.718181818
Andrew Cogliano,DAL,LW,78,6,11,17,1,106,1,0,1,68,32,133.9,1.716666667
Andrew Copp,WPG,C,69,11,14,25,20,82,0,0,0,71,34,156.3,2.265217391
Andrew Ladd,NYI,LW,26,3,8,11,3,34,0,0,0,37,8,62.6,2.407692308
Andrew MacDonald,FA,D,47,0,9,9,-5,41,0,0,0,30,95,94.4,2.008510638
Andrew Mangiapane,CGY,LW,44,8,5,13,11,65,0,0,0,43,17,95.5,2.170454545
Andrew Shaw,CHI,C,63,19,28,47,17,135,3,3,6,128,36,263.5,4.182539683
Andy Greene,NJ,D,82,5,20,25,-9,104,0,2,2,67,208,231.6,2.824390244
Andy Welinski,PHI,D,26,1,3,4,-5,32,0,0,0,47,18,51.8,1.992307692
Anthony Beauvillier,NYI,LW,81,18,10,28,1,156,1,1,2,87,35,199.9,2.467901235
Anthony Bitetto,WPG,D,36,0,3,3,-7,30,0,0,0,80,36,72.5,2.013888889
Anthony Cirelli,TB,C,82,19,20,39,25,123,0,1,1,94,49,231.2,2.819512195
Anthony DeAngelo,NYR,D,61,4,26,30,6,111,0,10,10,54,82,189.4,3.104918033
Anthony Duclair,OTT,LW,74,19,14,33,-2,132,7,1,8,32,33,177.3,2.395945946
Anthony Greco,FLA,C,1,0,0,0,-3,2,0,0,0,0,0,-0.7,-0.7
Anthony Mantha,DET,RW,67,25,23,48,-8,198,7,6,13,67,23,254.2,3.794029851
Anthony Peluso,EDM,RW,4,0,0,0,-1,1,0,0,0,4,0,1.9,0.475
Anthony Richard,NSH,C,1,0,0,0,-1,0,0,0,0,0,1,0,0
Antoine Roussel,VAN,LW,65,9,22,31,5,84,0,0,0,87,50,175.6,2.701538462
Anton Blidh,BOS,LW,1,0,0,0,0,0,0,0,0,6,1,3.5,3.5
Anton Lindholm,COL,D,2,0,0,0,-1,0,0,0,0,1,1,0.5,0.25
