Name,Team,Pos,Games,G,GPG,A,APG,Pts,ptsPG,PLMI,PLMIPG,PIM,PIMPG,SOG,SOGPG,GWG,PPG,PPGPG,PPA,PPAPG,PPP,PPPPG,SHG,SHGPG,SHA,SHAPG,Hits,HitsPG,BS,BSPG
Niklas Kronwall,FA,D,79,3,0.037974684,24,0.303797468,27,0.341772152,-5,-0.063291139,40,0.506329114,71,0.898734177,0,1,0.012658228,7,0.088607595,8,0.101265823,0,0,0,0,84,1.063291139,96,1.215189873
Zack Kassian,EDM,RW,79,15,0.189873418,11,0.139240506,26,0.329113924,-6,-0.075949367,102,1.291139241,111,1.405063291,3,0,0,0,0,0,0,1,0.012658228,0,0,191,2.417721519,15,0.189873418
Ivan Barbashev,STL,LW,80,14,0.175,12,0.15,26,0.325,-4,-0.05,17,0.2125,60,0.75,1,0,0,0,0,0,0,2,0.025,0,0,86,1.075,31,0.3875
Nick Bjugstad,PIT,C,64,14,0.21875,12,0.1875,26,0.40625,6,0.09375,30,0.46875,154,2.40625,2,2,0.03125,4,0.0625,6,0.09375,0,0,0,0,126,1.96875,27,0.421875
Mathieu Joseph,TB,RW,70,13,0.185714286,13,0.185714286,26,0.371428571,5,0.071428571,26,0.371428571,95,1.357142857,1,0,0,0,0,0,0,0,0,2,0.028571429,129,1.842857143,14,0.2
Ryan Hartman,MIN,RW,83,12,0.144578313,14,0.168674699,26,0.313253012,1,0.012048193,74,0.891566265,145,1.746987952,2,0,0,0,0,0,0,0,0,0,0,107,1.289156627,39,0.469879518
Matt Calvert,COL,LW,82,11,0.134146341,15,0.182926829,26,0.317073171,-10,-0.12195122,58,0.707317073,141,1.719512195,0,1,0.012195122,1,0.012195122,2,0.024390244,0,0,2,0.024390244,115,1.402439024,51,0.62195122
Tyson Jost,COL,C,70,11,0.157142857,15,0.214285714,26,0.371428571,-2,-0.028571429,14,0.2,114,1.628571429,3,4,0.057142857,1,0.014285714,5,0.071428571,0,0,0,0,48,0.685714286,35,0.5
Calle Jarnkrok,NSH,C,79,10,0.126582278,16,0.202531646,26,0.329113924,13,0.164556962,12,0.151898734,106,1.341772152,1,1,0.012658228,1,0.012658228,2,0.025316456,1,0.012658228,0,0,56,0.708860759,22,0.278481013
Brock McGinn,CAR,LW,82,10,0.12195122,16,0.195121951,26,0.317073171,10,0.12195122,20,0.243902439,123,1.5,0,0,0,0,0,0,0,1,0.012195122,0,0,137,1.670731707,38,0.463414634
Ivan Provorov,PHI,D,82,7,0.085365854,19,0.231707317,26,0.317073171,-16,-0.195121951,32,0.390243902,145,1.768292683,1,0,0,2,0.024390244,2,0.024390244,0,0,0,0,123,1.5,149,1.817073171
Cody Ceci,TOR,D,74,7,0.094594595,19,0.256756757,26,0.351351351,-22,-0.297297297,18,0.243243243,132,1.783783784,2,0,0,1,0.013513514,1,0.013513514,0,0,0,0,120,1.621621622,142,1.918918919
Leo Komarov,NYI,LW,82,6,0.073170732,20,0.243902439,26,0.317073171,18,0.219512195,42,0.512195122,78,0.951219512,1,0,0,0,0,0,0,0,0,0,0,203,2.475609756,38,0.463414634
Neal Pionk,WPG,D,73,6,0.082191781,20,0.273972603,26,0.356164384,-16,-0.219178082,35,0.479452055,132,1.808219178,1,2,0.02739726,11,0.150684932,13,0.178082192,0,0,1,0.01369863,138,1.890410959,98,1.342465753
Mike Green,DET,D,43,5,0.11627907,21,0.488372093,26,0.604651163,-1,-0.023255814,28,0.651162791,92,2.139534884,0,0,0,3,0.069767442,3,0.069767442,0,0,0,0,60,1.395348837,56,1.302325581
Nick Leddy,NYI,D,82,4,0.048780488,22,0.268292683,26,0.317073171,0,0,18,0.219512195,116,1.414634146,0,0,0,10,0.12195122,10,0.12195122,0,0,0,0,77,0.93902439,89,1.085365854
Jake Virtanen,VAN,LW,70,15,0.214285714,10,0.142857143,25,0.357142857,-4,-0.057142857,44,0.628571429,154,2.2,1,2,0.028571429,0,0,2,0.028571429,0,0,0,0,154,2.2,37,0.528571429
Jordan Martinook,CAR,LW,82,15,0.182926829,10,0.12195122,25,0.304878049,1,0.012195122,38,0.463414634,146,1.780487805,5,0,0,0,0,0,0,1,0.012195122,0,0,199,2.426829268,46,0.56097561
Pavel Zacha,NJ,C,61,13,0.213114754,12,0.196721311,25,0.409836066,-6,-0.098360656,15,0.245901639,99,1.62295082,2,4,0.06557377,2,0.032786885,6,0.098360656,2,0.032786885,1,0.016393443,68,1.114754098,24,0.393442623
Andre Burakovsky,COL,LW,76,12,0.157894737,13,0.171052632,25,0.328947368,2,0.026315789,14,0.184210526,100,1.315789474,4,1,0.013157895,0,0,1,0.013157895,0,0,0,0,35,0.460526316,29,0.381578947
Pontus Aberg,TOR,LW,59,12,0.203389831,13,0.220338983,25,0.423728814,-14,-0.237288136,20,0.338983051,101,1.711864407,1,3,0.050847458,4,0.06779661,7,0.118644068,0,0,0,0,45,0.762711864,11,0.186440678
Casey Mittelstadt,BUF,C,77,12,0.155844156,13,0.168831169,25,0.324675325,-19,-0.246753247,10,0.12987013,118,1.532467532,1,3,0.038961039,7,0.090909091,10,0.12987013,0,0,0,0,30,0.38961039,16,0.207792208
Andrew Copp,WPG,C,69,11,0.15942029,14,0.202898551,25,0.362318841,20,0.289855072,6,0.086956522,82,1.188405797,2,0,0,0,0,0,0,1,0.014492754,0,0,71,1.028985507,34,0.492753623
Lawson Crouse,ARI,LW,81,11,0.135802469,14,0.172839506,25,0.308641975,5,0.061728395,67,0.827160494,131,1.617283951,1,0,0,0,0,0,0,2,0.024691358,0,0,288,3.555555556,44,0.543209877
Ryan Donato,MIN,C,56,10,0.178571429,15,0.267857143,25,0.446428571,-15,-0.267857143,6,0.107142857,139,2.482142857,1,3,0.053571429,5,0.089285714,8,0.142857143,0,0,0,0,24,0.428571429,21,0.375
Matt Niskanen,PHI,D,80,8,0.1,17,0.2125,25,0.3125,-3,-0.0375,41,0.5125,143,1.7875,1,1,0.0125,1,0.0125,2,0.025,0,0,1,0.0125,167,2.0875,137,1.7125
Brady Skjei,NYR,D,78,8,0.102564103,17,0.217948718,25,0.320512821,-4,-0.051282051,44,0.564102564,126,1.615384615,1,0,0,0,0,0,0,0,0,1,0.012820513,178,2.282051282,119,1.525641026
Erik Johnson,COL,D,80,7,0.0875,18,0.225,25,0.3125,8,0.1,38,0.475,144,1.8,1,0,0,0,0,0,0,0,0,0,0,124,1.55,143,1.7875
Nick Schmaltz,ARI,RW,40,7,0.175,18,0.45,25,0.625,-12,-0.3,8,0.2,62,1.55,2,5,0.125,3,0.075,8,0.2,0,0,0,0,5,0.125,12,0.3
Michal Kempny,WAS,D,71,6,0.084507042,19,0.267605634,25,0.352112676,24,0.338028169,60,0.845070423,111,1.563380282,3,0,0,0,0,0,0,0,0,0,0,84,1.183098592,135,1.901408451
Mattias Janmark,DAL,C,81,6,0.074074074,19,0.234567901,25,0.308641975,-4,-0.049382716,24,0.296296296,105,1.296296296,0,0,0,1,0.012345679,1,0.012345679,0,0,1,0.012345679,28,0.345679012,44,0.543209877
Andy Greene,NJ,D,82,5,0.06097561,20,0.243902439,25,0.304878049,-9,-0.109756098,16,0.195121951,104,1.268292683,0,0,0,2,0.024390244,2,0.024390244,0,0,4,0.048780488,67,0.817073171,208,2.536585366
Marc-Edouard Vlasic,SJ,D,72,3,0.041666667,22,0.305555556,25,0.347222222,-6,-0.083333333,10,0.138888889,100,1.388888889,0,0,0,1,0.013888889,1,0.013888889,0,0,0,0,23,0.319444444,114,1.583333333
Alexander Wennberg,CLS,C,75,2,0.026666667,23,0.306666667,25,0.333333333,-1,-0.013333333,12,0.16,64,0.853333333,0,1,0.013333333,5,0.066666667,6,0.08,1,0.013333333,2,0.026666667,34,0.453333333,32,0.426666667
Marcus Pettersson,PIT,D,84,2,0.023809524,23,0.273809524,25,0.297619048,17,0.202380952,66,0.785714286,87,1.035714286,0,1,0.011904762,4,0.047619048,5,0.05952381,0,0,1,0.011904762,101,1.202380952,108,1.285714286
Brian Boyle,FA,C,73,18,0.246575342,6,0.082191781,24,0.328767123,-14,-0.191780822,38,0.520547945,123,1.684931507,4,7,0.095890411,2,0.02739726,9,0.123287671,1,0.01369863,1,0.01369863,145,1.98630137,50,0.684931507
Josh Leivo,VAN,LW,76,14,0.184210526,10,0.131578947,24,0.315789474,5,0.065789474,32,0.421052632,151,1.986842105,2,3,0.039473684,4,0.052631579,7,0.092105263,0,0,0,0,44,0.578947368,23,0.302631579
Jordan Greenway,MIN,LW,81,12,0.148148148,12,0.148148148,24,0.296296296,-12,-0.148148148,29,0.358024691,109,1.345679012,0,0,0,0,0,0,0,0,0,0,0,57,0.703703704,40,0.49382716
Miles Wood,NJ,LW,63,10,0.158730159,14,0.222222222,24,0.380952381,-10,-0.158730159,91,1.444444444,159,2.523809524,1,1,0.015873016,2,0.031746032,3,0.047619048,0,0,0,0,97,1.53968254,27,0.428571429
Jack Roslovic,WPG,RW,77,9,0.116883117,15,0.194805195,24,0.311688312,-2,-0.025974026,4,0.051948052,74,0.961038961,0,5,0.064935065,2,0.025974026,7,0.090909091,0,0,0,0,32,0.415584416,21,0.272727273
David Savard,CLS,D,82,8,0.097560976,16,0.195121951,24,0.292682927,19,0.231707317,36,0.43902439,124,1.512195122,1,0,0,0,0,0,0,0,0,0,0,122,1.487804878,123,1.5
Kenny Agostino,TOR,LW,63,6,0.095238095,18,0.285714286,24,0.380952381,-3,-0.047619048,34,0.53968254,79,1.253968254,0,0,0,5,0.079365079,5,0.079365079,0,0,0,0,143,2.26984127,14,0.222222222
Derick Brassard,NYI,C,70,14,0.2,9,0.128571429,23,0.328571429,-19,-0.271428571,39,0.557142857,110,1.571428571,0,2,0.028571429,3,0.042857143,5,0.071428571,0,0,0,0,102,1.457142857,15,0.214285714
Daniel Sprong,ANH,RW,63,14,0.222222222,9,0.142857143,23,0.365079365,-16,-0.253968254,10,0.158730159,125,1.984126984,3,2,0.031746032,3,0.047619048,5,0.079365079,0,0,0,0,35,0.555555556,14,0.222222222
Joel Armia,MON,RW,57,13,0.228070175,10,0.175438596,23,0.403508772,0,0,14,0.245614035,134,2.350877193,2,2,0.035087719,4,0.070175439,6,0.105263158,1,0.01754386,0,0,113,1.98245614,21,0.368421053
Drake Caggiula,CHI,LW,55,12,0.218181818,11,0.2,23,0.418181818,-5,-0.090909091,28,0.509090909,96,1.745454545,2,0,0,0,0,0,0,1,0.018181818,0,0,135,2.454545455,26,0.472727273
Adam Lowry,WPG,LW,78,12,0.153846154,11,0.141025641,23,0.294871795,6,0.076923077,33,0.423076923,105,1.346153846,3,0,0,0,0,0,0,1,0.012820513,2,0.025641026,223,2.858974359,49,0.628205128
Filip Chytil,NYR,C,75,11,0.146666667,12,0.16,23,0.306666667,-22,-0.293333333,8,0.106666667,133,1.773333333,2,3,0.04,4,0.053333333,7,0.093333333,0,0,0,0,29,0.386666667,21,0.28
Luke Glendening,DET,RW,78,10,0.128205128,13,0.166666667,23,0.294871795,2,0.025641026,15,0.192307692,102,1.307692308,1,0,0,0,0,0,0,1,0.012820513,2,0.025641026,198,2.538461538,102,1.307692308
Cal Clutterbuck,NYI,RW,73,8,0.109589041,15,0.205479452,23,0.315068493,6,0.082191781,44,0.602739726,95,1.301369863,2,3,0.04109589,0,0,3,0.04109589,0,0,1,0.01369863,209,2.863013699,40,0.547945205
Brendan Leipsic,WAS,LW,62,7,0.112903226,16,0.258064516,23,0.370967742,-14,-0.225806452,24,0.387096774,92,1.483870968,1,1,0.016129032,3,0.048387097,4,0.064516129,0,0,0,0,56,0.903225806,28,0.451612903
Kyle Turris,NSH,C,55,7,0.127272727,16,0.290909091,23,0.418181818,-6,-0.109090909,33,0.6,78,1.418181818,1,4,0.072727273,2,0.036363636,6,0.109090909,0,0,0,0,24,0.436363636,15,0.272727273
Brett Howden,NYR,C,66,6,0.090909091,17,0.257575758,23,0.348484848,-16,-0.242424242,14,0.212121212,74,1.121212121,1,0,0,2,0.03030303,2,0.03030303,0,0,0,0,64,0.96969697,47,0.712121212
Ron Hainsey,OTT,D,81,5,0.061728395,18,0.222222222,23,0.283950617,30,0.37037037,21,0.259259259,81,1,0,0,0,0,0,0,0,1,0.012345679,0,0,91,1.12345679,144,1.777777778
Filip Hronek,DET,D,46,5,0.108695652,18,0.391304348,23,0.5,-10,-0.217391304,30,0.652173913,73,1.586956522,0,1,0.02173913,4,0.086956522,5,0.108695652,0,0,1,0.02173913,66,1.434782609,32,0.695652174
Cam Fowler,ANH,D,59,5,0.084745763,18,0.305084746,23,0.389830508,-14,-0.237288136,20,0.338983051,88,1.491525424,2,1,0.016949153,5,0.084745763,6,0.101694915,0,0,1,0.016949153,32,0.542372881,91,1.542372881
Matt Nieto,COL,LW,64,4,0.0625,19,0.296875,23,0.359375,2,0.03125,8,0.125,86,1.34375,1,0,0,0,0,0,0,1,0.015625,2,0.03125,50,0.78125,26,0.40625
Braydon Coburn,TB,D,74,4,0.054054054,19,0.256756757,23,0.310810811,4,0.054054054,34,0.459459459,113,1.527027027,0,0,0,0,0,0,0,0,0,0,0,96,1.297297297,62,0.837837838
Brian Dumoulin,PIT,D,76,3,0.039473684,20,0.263157895,23,0.302631579,31,0.407894737,20,0.263157895,99,1.302631579,0,0,0,0,0,0,0,0,0,4,0.052631579,141,1.855263158,129,1.697368421
